company,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
E TRADE Financial Corporation,0.0,0.0,0.002029850746268657,0.01516417910447761,0.008,0.0037014925373134327,0.0,0.0,0.11044776119402983,0.033671641791044774,0.0021492537313432835,0.0,0.021731343283582092,0.0,0.016,0.026985074626865672,0.01635820895522388,0.38423880597014914,0.0,0.04310447761194029,0.027462686567164173,0.08585074626865671,0.0066865671641791035,0.025910447761194028,0.0,0.006328358208955224,0.017432835820895522,0.03641791044776119,0.033910447761194035,0.0,0.032,0.020776119402985075,0.011940298507462687,0.011701492537313432,0.0
E W Scripps Company The ,0.05368492224475997,0.0,0.007707910750507099,0.01839080459770115,0.0036511156186612576,0.020824881676808654,0.0,0.003786342123056119,0.09019607843137255,0.03177822853279243,0.0,0.0,0.0043272481406355645,0.0,0.013657876943881,0.03313049357674104,0.057876943881000675,0.5134550371872888,0.0,0.03029073698444895,0.022582826233941852,0.04503042596348884,0.0033806626098715348,0.002704530087897228,0.0,0.007302231237322515,0.005949966193373901,0.011223799864773495,0.0,0.0,0.0014874915483434753,0.01271129141311697,0.0,0.00486815415821501,0.0
EOG Resources Inc ,0.0,0.0,0.002257336343115124,0.010888328243261188,0.0,0.008232638427831628,0.0,0.0,0.03160270880361174,0.0,0.0,0.0,0.014075156021776657,0.0,0.024033992829637498,0.020448811578807593,0.06679059885805338,0.489576417474439,0.0,0.030274863895896956,0.0,0.042756606028415876,0.0,0.0161997078741203,0.0,0.005311379630859116,0.09892444562475103,0.03917142477758598,0.017925906254149516,0.0,0.007967069446288673,0.014075156021776657,0.04793520116850351,0.011552250697118576,0.0
EP Energy Corporation,0.013264554163596167,0.0,0.013491298679213197,0.000453489031234057,0.009239839011393912,0.011280539651947169,0.0,0.0,0.07097103338812992,0.0,0.0007369196757553427,0.0,0.009353211269202426,0.0,0.018422991893883568,0.01813956124936228,0.018649736409500597,0.550082194886911,0.0,0.05067739924040586,0.0,0.05776316535343803,0.007992744175500256,0.028343064452128565,0.0,0.00532849611700017,0.01536194093305368,0.02324131285074543,0.017969502862649513,0.0,0.01009013094495777,0.015361940933053682,0.01762938608922397,0.01541862706195794,0.0007369196757553427
EPAM Systems Inc ,0.00430828147438966,0.0,0.0022020105313547153,0.006701771182383916,0.03848731450454763,0.007084729535662996,0.0,0.0,0.014552417424605075,0.0031594064145524176,0.028721876495931067,0.003350885591191958,0.02575394925801819,0.0,0.022115844901866924,0.0020105313547151746,0.09755864049784586,0.5008137865007176,0.029775011967448542,0.01723312589755864,0.0,0.04892292963140258,0.002967927237912877,0.0,0.0,0.0057443752991862135,0.039253231211105785,0.02240306366682623,0.011201531833413117,0.0,0.005169937769267592,0.04825275251316419,0.012254667304930588,0.0,0.0
EPR Properties,0.05688158710477371,0.0,0.0043397396156230625,0.012476751394916304,0.004572225666460012,0.017436453812771233,0.0,0.0,0.09175449473031617,0.0052696838189708614,0.0,0.0,0.0,0.0,0.02193118412895226,0.048202107873527585,0.05881897086174829,0.4013484190948559,0.020613763174209546,0.015266584004959702,0.026115933044017357,0.02859578425294482,0.0030223186608803474,0.007672039677619343,0.0,0.0309981401115933,0.019916305021698697,0.03905765654060756,0.011779293242405455,0.0,0.0059671419714817115,0.05455672659640421,0.009221946683199008,0.004184748915065096,0.0
EQGP Holdings LP,0.012851375874967591,0.0,0.014073552831376616,0.007814525387948594,0.0002962853227658235,0.004333172845450168,0.0,0.0,0.058923743565053144,0.012258805229435947,0.000592570645531647,0.0005555349801859191,0.0020739972593607644,0.0,0.017406762712492127,0.05799785193140993,0.03851709195955705,0.5112032887670838,0.0,0.007258990407762676,0.013295803859116329,0.03829487796748269,0.0035554238731898818,0.016073478760045924,0.0,0.010740342950261102,0.04462797674160216,0.019999259286693088,0.01651790674419466,0.0,0.0,0.086441242916929,0.0017777119365949409,0.0025184252435095,0.0
EQM Midstream Partners LP,0.011278039036164636,0.0,0.011735819218444379,0.010029547629947148,0.00033293104165799657,0.004494569062382953,0.0,0.0,0.05443422531108244,0.013067543385076366,0.0,0.000582629322901494,0.002330517291605976,0.0,0.01681301760372883,0.06021890215989014,0.032960173124141665,0.5150443214449207,0.0,0.010029547629947146,0.004785883723833701,0.03778767322818262,0.0032044612759582172,0.01702109950476507,0.0,0.012068750260102377,0.04794206999875151,0.020641724582795788,0.017145948645386825,0.0,0.0,0.09130633817470557,0.0019143534895334803,0.002829913854092971,0.0
EQT Corporation,0.0,0.0,0.0010353498003253957,0.006064191687620174,0.017896760834196127,0.0,0.0,0.0,0.050288418872947785,0.0,0.0,0.0,0.0,0.0,0.04481585564265641,0.019671646206182516,0.0486614406152936,0.5395651530838635,0.0,0.01893211063452152,0.0,0.04806981215796479,0.007839077059606568,0.013903268747226742,0.0,0.0,0.02070699600650791,0.06271261647685254,0.03875166395503624,0.0,0.0,0.051471675787605385,0.0,0.00961396243159296,0.0
ESCO Technologies Inc ,0.0,0.0,0.0,0.0540667606958157,0.023742360131640806,0.03314527503526093,0.0,0.0,0.0061118946873530795,0.0,0.003526093088857546,0.0,0.0,0.0,0.032204983544898924,0.0,0.043253408556652564,0.35590032910202146,0.025387870239774332,0.03972731546779502,0.0,0.08015984955336153,0.005171603196991067,0.0,0.0,0.0,0.034790785143394454,0.027503526093088856,0.003996238834038552,0.0,0.12811471556182416,0.0,0.032910202162670425,0.0,0.07028678890456042
